Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd_abbrev,N,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,O,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
cmpd_abbrev,P,R7335,Z7098,Z7098,Z9274,R4401,R4401,Z1527,F4769,F4769,Z6402,Z2483,Z2483,Z6960,R8539,R8539,R1104,R8407,R8407,Z6512,R0658,R0658,Empty,Empty,Empty
SMILES,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SMILES,A,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
SMILES,B,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
SMILES,C,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
SMILES,D,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
SMILES,E,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
SMILES,F,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN(C(=O)C=1C=NC=2NC=C(C)C2C1)C3=NN=NN3,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CC=1C=CC(NS(=O)(=O)C=2C=CC(=CN2)C(F)(F)F)=C(O)N1,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,NC=1N=CC(=CN1)S(=O)(=O)N2CCC2C=3C=CC=C(F)C3,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CNS(=O)(=O)C=1C=CC=C(C1)C=2N=CN=C3NC=4C=CC=CC4C23,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CC1=NC(CC2=NOC(=N2)C=3N=CN=C4NC=CC34)=NO1,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,BrC=1C=NC=2NC=C(C(=O)CSC3=NN=NN3)C2C1,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,NC=1N=C(N)C=2N=CN(C3CN(C3)C(=O)CC=4C=CC=NC4)C2N1,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty,Empty,Empty
