Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd_abbrev,K,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,L,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,M,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,N,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,O,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
cmpd_abbrev,P,R6134,F7028,F0346,Z8619,Z3247,R3575,R5324,Z8095,Z4464,R2032,Z9614,Z3432,Z9028,R2488,F6831,R7335,Z9274,Z1527,Z6402,Z6960,R1104,Z6512,Empty,Empty
SMILES,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SMILES,A,CC1=NN=C(CNC=2C=NC(N)=C(Cl)N2)N1C3CC3,CNS(=O)(=O)C1=CC(=CO1)C(=O)N2CCC=3N=C(N)N=CC3C2,C[C@@H]1CCN([C@H](C1)C2=CC=C(C)O2)C(=O)C=3N=CN=C4NC=CC34 |&1:1.5.r|,CC1N(CCCC1=O)C(=O)C=2C=CN=C3NC=NC23,CC=1C=C(N(N1)C2CCCC2)S(=O)(=O)NC=3C=NC=4NC=CC4C3,ClC1=CC(=NC(=O)N1)N2CC(CN3C=NN=C3)C4(CCC4)C2,OC(=O)[C@@H]1CCCN(C1)C(=O)C=2C=CN=C3NC=CC23,CC1=NOC(=N1)C=2C=CN=C(C2)C=3C=CN=C4NC=CC34,CC1(CCN(C1)C(=O)CC2=CNC=3N=CC=C(Cl)C23)C(=O)O,NC(=O)C=1C=C(N=CN1)N2CCCC[C@H]2C(=O)O,CC1(C)CCC(CN1C(=O)C=2N=CN=C3NC=CC23)C(=O)O,O=C(OCCN1CCOC1=O)C=2N=CN=C3NC=CC23,O=C(N1CC(C1)N2C=CN=N2)C=3N=CN=C4NC=CC34,CNC=1C=CC(=CN1)C(=O)N2CC(CC32CCOCC3)C(=O)O,CC=1C=C(C=NC1N)S(=O)(=O)N2CCC[C@@H](C2)C(=O)N,C(C1=NOC(=N1)[C@@H]2CCCO2)C3=NC(=NN3)C=4C=CC=CC4,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty
SMILES,B,CC1=NN=C(CNC=2C=NC(N)=C(Cl)N2)N1C3CC3,CNS(=O)(=O)C1=CC(=CO1)C(=O)N2CCC=3N=C(N)N=CC3C2,C[C@@H]1CCN([C@H](C1)C2=CC=C(C)O2)C(=O)C=3N=CN=C4NC=CC34 |&1:1.5.r|,CC1N(CCCC1=O)C(=O)C=2C=CN=C3NC=NC23,CC=1C=C(N(N1)C2CCCC2)S(=O)(=O)NC=3C=NC=4NC=CC4C3,ClC1=CC(=NC(=O)N1)N2CC(CN3C=NN=C3)C4(CCC4)C2,OC(=O)[C@@H]1CCCN(C1)C(=O)C=2C=CN=C3NC=CC23,CC1=NOC(=N1)C=2C=CN=C(C2)C=3C=CN=C4NC=CC34,CC1(CCN(C1)C(=O)CC2=CNC=3N=CC=C(Cl)C23)C(=O)O,NC(=O)C=1C=C(N=CN1)N2CCCC[C@H]2C(=O)O,CC1(C)CCC(CN1C(=O)C=2N=CN=C3NC=CC23)C(=O)O,O=C(OCCN1CCOC1=O)C=2N=CN=C3NC=CC23,O=C(N1CC(C1)N2C=CN=N2)C=3N=CN=C4NC=CC34,CNC=1C=CC(=CN1)C(=O)N2CC(CC32CCOCC3)C(=O)O,CC=1C=C(C=NC1N)S(=O)(=O)N2CCC[C@@H](C2)C(=O)N,C(C1=NOC(=N1)[C@@H]2CCCO2)C3=NC(=NN3)C=4C=CC=CC4,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty
SMILES,C,CC1=NN=C(CNC=2C=NC(N)=C(Cl)N2)N1C3CC3,CNS(=O)(=O)C1=CC(=CO1)C(=O)N2CCC=3N=C(N)N=CC3C2,C[C@@H]1CCN([C@H](C1)C2=CC=C(C)O2)C(=O)C=3N=CN=C4NC=CC34 |&1:1.5.r|,CC1N(CCCC1=O)C(=O)C=2C=CN=C3NC=NC23,CC=1C=C(N(N1)C2CCCC2)S(=O)(=O)NC=3C=NC=4NC=CC4C3,ClC1=CC(=NC(=O)N1)N2CC(CN3C=NN=C3)C4(CCC4)C2,OC(=O)[C@@H]1CCCN(C1)C(=O)C=2C=CN=C3NC=CC23,CC1=NOC(=N1)C=2C=CN=C(C2)C=3C=CN=C4NC=CC34,CC1(CCN(C1)C(=O)CC2=CNC=3N=CC=C(Cl)C23)C(=O)O,NC(=O)C=1C=C(N=CN1)N2CCCC[C@H]2C(=O)O,CC1(C)CCC(CN1C(=O)C=2N=CN=C3NC=CC23)C(=O)O,O=C(OCCN1CCOC1=O)C=2N=CN=C3NC=CC23,O=C(N1CC(C1)N2C=CN=N2)C=3N=CN=C4NC=CC34,CNC=1C=CC(=CN1)C(=O)N2CC(CC32CCOCC3)C(=O)O,CC=1C=C(C=NC1N)S(=O)(=O)N2CCC[C@@H](C2)C(=O)N,C(C1=NOC(=N1)[C@@H]2CCCO2)C3=NC(=NN3)C=4C=CC=CC4,CN1C=NC(=C1)C(=O)NCC2CCN2C(=O)C=3N=CN=C4NC=CC34,CN(CC(=O)O)C(=O)C=1C=CC2=NNC(=O)N2C1,OC(=O)C1CC2CCC1CN(C2)C=3N=CN=C4N=CNC34,CC=1C=C(C=C(O)N1)C(=O)C(C#N)C2=NN=C3CCCCCN23,CCC1=CNC=2N=CC(=CC12)C3=C(C(=O)O)C(C)=NN3C,OC(=O)C1(CF)CCN(C1)C(=O)C=2C=NNC(=O)C2,CC1CC(N1C(=O)C=2C=C(O)N=C3C=CC(F)=CC23)C(=O)O.OC(=O)C(F)(F)F,Empty
